site_web;nom_restaurant;ville;code_postal;score_anciennete;non_responsive;sans_https;techno;copyright;indices_anciennete
http://pastapazza.fr;Pasta Pazza;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://pizzaliz.fr;Pizzaliz;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://relais-des-vieilles-postes.fr;Le Relais des Vieilles Postes;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://restaurant-petit-baigneur.fr;Le Petit Baigneur;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://www.cote-piste.fr/;Côté piste;;;5;oui;non;"elementor 3.31.3; features: additional_custom_breakpoints, e";2018;non responsive | copyright 2018
https://lentre-mers.fr;L’entre-mers;;;5;non;non;—;2020;balises désuètes: <center> | copyright 2020
https://lhuitredoc.fr;Les Jardins d’Oc;;;5;non;non;—;2021;balises désuètes: <center> | copyright 2021
http://restaurant-harmonie.fr;L'Harmonie;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://pizzeriailsoleditalia.fr;Il Sole d'Italia;;;5;non;non;wordpress 4.7.34;2016;WordPress 4 | copyright 2016
https://www.fleursdethym.fr/;Fleurs de Thym;;;5;oui;non;—;1999;non responsive | copyright 1999
http://cafe-de-la-mairie-78.fr;Café de la Mairie;;;5;oui;oui;—;2026;non responsive | pas de HTTPS
https://lepouillerot.fr;Le Pouillerot;;;5;non;non;wordpress 5.8.12;2021;WordPress 5 | copyright 2021
http://berberhygge.fr;BerbèrHygge;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://closducher.fr/index.php/fr/;Côté Jardin;;;5;non;non;joomla! - open source content management;2017;Joomla | copyright 2017
http://restaurant-cantina.fr;Cantina;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://www.restaurantle1200.fr/;Le 1200;;;5;non;non;joomla! - open source content management;2021;Joomla | copyright 2021
https://la-fourchette-de-leonie.fr;La Fourchette de Léonie;;;5;non;non;wordpress 5.7.2;2021;WordPress 5 | copyright 2021
https://comptoirdalesia.fr;Comptoir d'Alésia;;;5;oui;non;httrack website copier/3.x;2008;non responsive | copyright 2008
https://lesoleilduparc.fr;Le Soleil du Parc;;;5;oui;non;—;2014;non responsive | copyright 2014
http://latabledesfrangins.fr;La table des frangins;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://la-rotonde.webnode.fr;La Rotonde;;;5;oui;non;webnode;2015;non responsive | copyright 2015
http://parcelles-paris.fr;Parcelles;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://chezpippo.fr;Chez Pippo;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://steinwasen.free.fr;Auberge du Steinwasen;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://restaurant-lacantina-paris.fr;La Cantina;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://www.ilpinocchio.fr/;Il Pinocchio;;;5;non;non;wordpress 5.4.20;2019;WordPress 5 | copyright 2019
https://albatros-restaurant.fr;L'Albatros;;;5;non;non;wordpress 5.8.3;2021;WordPress 5 | copyright 2021
http://osakasushi78.fr;Osaka;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://malaterre.fr;Auberge de Malaterre;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://15baht.fr;15 Baht;;;5;oui;oui;—;2026;non responsive | pas de HTTPS
http://lapizz-bordeaux.fr;La Pizz;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://permayou.haut-bearn.fr;Le Permayou;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://oustaldemontibel.free.fr;L'Oustal de Montibel;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://www.super-restaurant.fr/;Super Pizza;;;5;non;non;—;2021;balises désuètes: <center> | copyright 2021
http://restaurantlacourdulouvre.fr;La Cour du Louvre;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://lerondpointmetz.fr;Le Rond Point;;;5;non;non;wordpress 7.0.3;2016;balises désuètes: <center> | copyright 2016
http://restaurantauxcocottes.fr;Aux Cocottes;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://aux3gourmandsduchateau.fr;Aux 3 Gourmands du Château;;;5;oui;non;—;1999;non responsive | copyright 1999
https://le-sucre-sale.fr;Le Sucré Salé;;;5;oui;non;—;2012;non responsive | copyright 2012
https://sidon.libanais-tours.fr;Ô Sidon;;;5;non;non;joomla! - open source content management;2017;Joomla | copyright 2017
https://spicyworld8.webnode.fr;Spicy World;;;5;oui;non;webnode;2012;non responsive | copyright 2012
http://alfreddemareil.fr;Alfred;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://restaurant-lebercail.fr;Le Bercail;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://lanetetu.fr;L'Âne Têtu;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://lepetitgraindesel.fr;Le petit grain de sel;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://tourisme.excenevex.fr;La Ginguette de la Plage;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://verona-antony.fr;Pizza Verona;;;5;oui;non;—;1999;non responsive | copyright 1999
https://al-ritrovo.fr;Al Ritrovo;;;5;non;non;—;2000;balises désuètes: <center> | copyright 2000
http://restaurantshanghai.free.fr;Restaurant Shanghai;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://lacreperieduroc.fr;La Crêperie du Roc;;;5;oui;oui;—;—;non responsive | pas de HTTPS
